NOMBRE,CANTIDAD,LUGAR
PROTOBOARD ITCH,1,OFICINA
EMBUDOS (rojos),2,OFICINA
TARRAJAS Y MACHUELOS (caja gris),1,OFICINA
CAJA DE SOLDADURA GDE,1,OFICINA
PANEL SOLAR ,1,OFICINA
EXTENSIONES,5,OFICINA
MULTIPLES,6,OFICINA
PLACAS FENOLICAS,2,OFICINA
BASCULA GRANDE,1,OFICINA
PIEZAS DE DREMEL,2,OFICINA
ESTANDARTE,1,OFICINA
ESCUADRA DE COMBINACION,3,OFICINA
MICROALAMBRE TUBULAR PARA SOLDAR,5,OFICINA
CEPILLO DE ALAMBRE AMARILLO,4,OFICINA
MITUTOYO 155-903(caja roja),5,OFICINA
CUENTA HILOS,7,OFICINA
COLA DE PESCADO ,2,OFICINA
JUEGO DE BOCINA PARA COMPUTADORA,3,OFICINA
BASCULA (azul),1,OFICINA
BOLSA/TRANSPORTADORES,1,OFICINA
ESCUADRA CON NIVEL,4,OFICINA
NI MY RIO NATIONAL INSTRUMENT,1,OFICINA
MACHUELOS Y TARRAJAS (cajita azul) PITTSBURGH,1,OFICINA
CINCELES (caja roja),1,OFICINA
LIMAS,7,OFICINA
LIMAS PEQUEÑAS (estuche rojo),1,OFICINA
LIMAS EN CAJAS AZULES,14,OFICINA
LIMA EN ESTUCHE NEGRO,1,OFICINA
PIEDRAS CROFTSMAN,2,OFICINA
EMBUTIDORES,2,OFICINA
FORMON (gurbia),1,OFICINA
VIRTUAL BENCH NATIONAL INSTRUMENT,1,OFICINA
PANTALLA ALLEN-BRADLEY,1,OFICINA
TRANSITO O TEODOLITO GEOSUR,1,OFICINA
CALADORA MILKWAUKEE,1,OFICINA
TALADRO MILKWAUKEE,1,OFICINA
ESCUADRAS SURTEK,7,OFICINA
BATAS AZULES,17,OFICINA
MOTOR DE ALTERNA,1,OFICINA
MOTOR A PASOS SIEMENS,1,OFICINA
CAJA DE COSAS FESTO,1,OFICINA
ESCALERA SURTEK 3 PELDAÑOS,1,OFICINA
PERFORADORA DE HOJAS ,1,OFICINA
GUANTES SOLDER,1,OFICINA
PECHERA DE CARNAZA,1,OFICINA
NIVEL CHICO,1,OFICINA
NIVEL GRANDE,1,OFICINA
PLC SIEMENS,2,OFICINA
PLC ALLEN BRADLEY,2,OFICINA
CAJA UNIT ELECTRONIC,1,OFICINA
SEGUETA DE ARCO,8,OFICINA
SERRUCHOS,4,OFICINA
SEGUETAS,10,OFICINA
SEGUETA DE PLASTICO,1,OFICINA
MAZOS,5,OFICINA
MARTILLOS,5,OFICINA
MARROS,13,OFICINA
DESARMADORES CRUZ,8,OFICINA
DESARMADORES PALETAS,16,OFICINA
PINZAS DE CORTE CON PICO,4,OFICINA
PINZAS STEELSON,2,OFICINA
PINZAS DE CORTE CON PICO,1,OFICINA
PINZAS DE CORTE CHATAS,1,OFICINA
1 PINZAS PERRAS CON PICO,1,OFICINA
PINZAS PERRAS ,8,OFICINA
PINZAS PERRAS DE PRESION,3,OFICINA
PINZAS DE PRESION,17,OFICINA
PINZAS CORTE LAMINA,1,OFICINA
PINZAS DE PRESION CHATAS,6,OFICINA
PINZAS PERICAS,1,OFICINA
PINZAS P/REMACHAR,1,OFICINA
PINZAS PELACABLES,2,OFICINA
CAMARA DE SEGURIDAD WEATHERPROOF,1,OFICINA
CAJA CON SCANNER,1,OFICINA
PUNZONES,2,OFICINA
LLAVES PERICAS (10""),38,OFICINA
DADOS,1,OFICINA
ESCUADRAS CHICAS,4,OFICINA
PISTOLA PARA AIRE,3,OFICINA
RASPADOR,1,OFICINA
GENERADORES DE FUNCION 4001A,4,OFICINA
FUENTES DE PODER EX 354 RD DUAL,3,OFICINA
SARGENTO,4,OFICINA
SOLDADORA INFRA MM252,1,TALLER DE SOLDADURA
PILAS LTH,5,TALLER DE SOLDADURA
TALADRO DE BANCO,1,TALLER DE SOLDADURA
SOLDADORA INFRA MM252,1,TALLER DE SOLDADURA
TANQUE OXIGENO,1,TALLER DE SOLDADURA
TANQUE ACETILENO,1,TALLER DE SOLDADURA
COMPRESOR NEGRO (no sirve),1,TALLER DE SOLDADURA
CARGADOR DE BATERIAS SHUMA CHEV,1,TALLER DE SOLDADURA
DOBLADORA DE TUBO (amarilla),1,TALLER DE SOLDADURA
SIERRA CINTA SATURNO,1,TALLER DE SOLDADURA
ASPIRADORA RID GID,1,TALLER DE SOLDADURA
SOLDADORA LINCOLN,1,TALLER DE SOLDADURA
SOLDADORA DE MICROALAMBRE CHICAGO,1,TALLER DE SOLDADURA
ESMERIL MILWAUKEE,1,TALLER DE SOLDADURA
TALADRO DE BANCO CENTRAL  MACHINERY,1,TALLER DE SOLDADURA
CORTADORA DE FIERRO MILWAUKEE,1,TALLER DE SOLDADURA
ESMERIL ANARANJADO,1,TALLER DE SOLDADURA
HORNO IMPERIAL 3 (no sirve),1,TALLER DE SOLDADURA
CASCO ELECTRONICO CHICAGO,1,TALLER DE SOLDADURA
CASCO PARA  SOLDAR,4,TALLER DE SOLDADURA
